delta_time,proportional_gain,integral_gain,derivative_gain,logistic_function_mid,logistic_function_growth_rate,follower_too_far_percent,follower_too_close_percent,follower_goal_dist_percent
1,20,0,0,2,7,0.6551724137931034,0.017241379310344827,0.3275862068965517
1,20,0,0,2,7,0.7413793103448276,0.017241379310344827,0.2413793103448276
1,20,0,0,2,7,0.5689655172413793,0.06896551724137931,0.3620689655172414
1,20,0,0,2,7,0.6724137931034483,0.017241379310344827,0.3103448275862069
1,20,0,0,1,7,0.3793103448275862,0.15517241379310345,0.46551724137931033
1,20,0,0,1,7,0.46551724137931033,0.017241379310344827,0.5172413793103449
1,20,0,0,1,7,0.3103448275862069,0.017241379310344827,0.6724137931034483
1,20,0,0,1,7,0.39655172413793105,0.08620689655172414,0.5172413793103449
1,20,0,0,0,7,0.5689655172413793,0.08620689655172414,0.3448275862068966
1,20,0,0,0,7,0.1896551724137931,0.08620689655172414,0.7241379310344828
1,20,0,0,0,7,0.46551724137931033,0.08620689655172414,0.4482758620689655
1,20,0,0,0,7,0.3620689655172414,0.20689655172413793,0.43103448275862066
1,20,0,0,1,8,0.6551724137931034,0.017241379310344827,0.3275862068965517
1,20,0,0,1,8,0.3888888888888889,0.07407407407407407,0.5370370370370371
1,20,0,0,1,8,0.7435897435897436,0.02564102564102564,0.23076923076923078
1,20,0,0,1,6,0.7931034482758621,0.06896551724137931,0.13793103448275862
1,30,0,0,1,7,0.46551724137931033,0.10344827586206896,0.43103448275862066
1,30,0,0,1,7,0.5,0.15517241379310345,0.3448275862068966
1,30,0,0,1,7,0.29310344827586204,0.05172413793103448,0.6551724137931034
1,30,0,0,1,7,0.46551724137931033,0.10344827586206896,0.43103448275862066
1,30,1,0.1,1,7,0.896551724137931,0.017241379310344827,0.08620689655172414
1,30,1,0.1,1,7,0.8620689655172413,0.017241379310344827,0.1206896551724138
1,30,1,0.2,1,7,0.5344827586206896,0.034482758620689655,0.43103448275862066
1,30,1,0.2,1,7,0.29310344827586204,0.017241379310344827,0.6896551724137931
1,30,1,0.3,1,7,0.5689655172413793,0.017241379310344827,0.41379310344827586
1,30,1,0.3,1,7,0.4827586206896552,0.1206896551724138,0.39655172413793105
1,30,1,0.2,1,7,0.5,0.1896551724137931,0.3103448275862069
1,30,1,0.2,2,7,0.6896551724137931,0.017241379310344827,0.29310344827586204
1,30,1,0.2,1,8,0.5862068965517241,0.1206896551724138,0.29310344827586204
1,30,1,0.2,1,8,0.3448275862068966,0.06896551724137931,0.5862068965517241
1,30,1,0.2,1,8,0.5344827586206896,0.22413793103448276,0.2413793103448276
1,30,1,0.2,1,8,0.9655172413793104,0.017241379310344827,0.017241379310344827
1,30,1,0.2,1,8,0.5172413793103449,0.034482758620689655,0.4482758620689655
1,30,1,0.2,1,8,0.46551724137931033,0.017241379310344827,0.5172413793103449
1,30,1,0.2,1,8,0.5172413793103449,0.017241379310344827,0.46551724137931033
1,30,0.5,0.2,1,8,0.3793103448275862,0.22413793103448276,0.39655172413793105
1,30,0,0,1,8,0.6206896551724138,0.10344827586206896,0.27586206896551724
0.25,30,1,0.2,1,8,0.4019607843137255,0.07352941176470588,0.5245098039215687
0.25,30,1,0.2,1,10,0.7450980392156863,0.0784313725490196,0.17647058823529413
0.25,30,1,0.2,1,10,0.24019607843137256,0.09803921568627451,0.6617647058823529
0.1,30,1,0.2,1,10,0.41204819277108434,0.014457831325301205,0.5734939759036145
0.1,30,0,0,1,10,0.44,0.004705882352941176,0.5552941176470588
0.1,30,0,0,1,10,0.1909307875894988,0.00477326968973747,0.8042959427207638
0.1,30,0,0,1,10,0.03818615751789976,0.00477326968973747,0.9570405727923628
