time,follower_world_cs_x,follower_world_cs_z,follower_compass_heading,leader_world_cs_x,leader_world_cs_z,leader_follower_cs_x,leader_follower_cs_z,follower_FT_R11,follower_FT_R21,follower_FT_R12,follower_FT_R22,x_relative_error_heading,compass_relative_error_heading,omega,v,v_max,left_wheel_velocity,right_wheel_velocity,follower_wheel_radius,follower_axle_length
0,1.00003349781036,0.928261876106262,0.0395646803081036,0.0,0.0,-0.999392263105149,-0.9289522118067804,0.9999997615814491,0.0006905338839966712,-0.0006905338839966712,0.9999997615814491,-137.09201417387158,-132.90798582612842,-23.196819548598967,0.0,25,-64.95109473607711,64.95109473607711,0.5,2.8
1,1.02154362201691,0.927974224090576,6.08647012710571,0.989047527313232,15.1925058364868,-1.5447707110993534,14.1806770489759,0.99436300969553,0.10602926458882747,-0.10602926458882747,0.9943630096955299,96.2169956786528,-6.216995678652793,-1.0850704417475059,0.0,25,-3.038197236893016,3.038197236893016,0.5,2.8
2,1.04845893383026,0.925464451313019,13.7537031173706,0.948670506477356,15.852237701416,-3.6457476701209,14.475048922750885,0.9713267057671975,0.23774867121278412,-0.23774867121278412,0.9713267057671974,104.13673101385356,-14.136731013853563,-2.467325016605408,0.0,25,-6.908510046495142,6.908510046495142,0.5,2.8
3,1.08974254131317,0.984096467494965,18.6315002441406,0.858921349048615,16.8606071472168,-5.290957364407383,14.970726099763604,0.9475929083834491,0.3194803280037693,-0.3194803280037693,0.9475929083834491,109.46443820723084,-19.46443820723084,-3.3971853376716057,0.0,25,-9.512118945480495,9.512118945480495,0.5,2.8
4,1.26961195468903,1.51581335067749,18.6889019012451,0.777639150619507,18.157299041748,-5.798455370719569,15.6063768556261,0.9472723621881712,0.3204295114911264,-0.3204295114911264,0.9472723621881715,110.38224577060234,-20.38224577060234,-3.557372976476997,0.0,25,-9.96064433413559,9.96064433413559,0.5,2.8
5,1.6061315536499,2.51177573204041,18.6900329589844,0.781734228134155,20.1199760437012,-6.423439879912637,16.415473470937005,0.9472660365066428,0.32044821123076284,-0.32044821123076284,0.9472660365066429,111.3706033183881,-21.370603318388106,-3.7298739104349847,0.0,25,-10.443646949217957,10.443646949217957,0.5,2.8
6,2.07010650634766,3.88457274436951,18.6903953552246,0.915214538574219,21.8779449462891,-6.860039338762579,16.674383914396063,0.9472640096503271,0.320454202689222,-0.320454202689222,0.9472640096503271,112.36284724316343,-22.36284724316343,-3.903053145137388,0.0,25,-10.928548806384686,10.928548806384686,0.5,2.8
7,2.62579727172852,5.52851819992065,18.6906719207764,1.19337224960327,23.7643547058105,-7.200716284027095,16.815090232005968,0.9472624628134321,0.3204587751094221,-0.3204587751094221,0.9472624628134321,113.18203336670663,-23.182033366706634,-4.046028095562168,0.0,25,-11.328878667574068,11.328878667574068,0.5,2.8
8,3.27580571174622,7.451331615448,18.6908740997314,1.60423195362091,25.7121105194092,-7.435305063114867,16.762053681653274,0.9472613320083585,0.32046211770153205,-0.32046211770153205,0.9472613320083585,113.92109726294983,-23.92109726294983,-4.175019079282783,0.0,25,-11.690053421991792,11.690053421991792,0.5,2.8
9,3.994295835495,9.57660865783691,18.6910457611084,2.06818151473999,27.6796779632568,-7.625931071634741,16.531068021883193,0.9472603718815837,0.3204649557483062,-0.32046495574830625,0.9472603718815836,114.76430297089787,-24.764302970897873,-4.322186238035814,0.0,25,-12.102121466500277,12.102121466500277,0.5,2.8
