time,follower_world_cs_x,follower_world_cs_z,follower_compass_heading,leader_world_cs_x,leader_world_cs_z,leader_follower_cs_x,leader_follower_cs_z,follower_FT_R11,follower_FT_R21,follower_FT_R12,follower_FT_R22,x_relative_error_heading,compass_relative_error_heading,linear_distance_error,omega,v,v_without_angle_error,v_max,left_wheel_velocity,right_wheel_velocity,follower_wheel_radius,follower_axle_length,proportional_gain,max_follower_distance,min_follower_distance,optimal_follower_distance
0,1.00003349781036,0.928261876106262,0.0395646803081036,0.0,0.0,-0.999392263105149,-0.9289522118067804,0.9999997615814491,0.0006905338839966712,-0.0006905338839966712,0.9999997615814491,-137.09201417387158,-132.90798582612842,-12.135545124463569,-46.39363909719793,1.5460204979479692e-42,1.0643274821071399e-41,100,-100,100,0.5,2.8,20,15,12,13.5
1,0.977653324604034,0.926514685153961,353.921103954315,1.00170111656189,15.0885486602783,1.5236410421719275,14.079854494400266,0.9943770172976685,-0.105897816172914,0.105897816172914,0.9943770172976685,83.82381315103432,6.176186848965685,0.6620543922438795,2.1558959146564987,0.004819086491708885,0.008561030742134,100,6.0461467340216135,-6.026870388054778,0.5,2.8,20,15,12,13.5
2,0.952532172203064,0.920787990093231,347.067120552063,1.01384329795837,15.8710241317749,3.405759976354343,14.557270304890578,0.9746329205882782,-0.22380945043845446,0.22380945043845443,0.9746329205882781,76.83215108292737,13.167848917072632,1.4503618600415873,4.596446380161744,0.8829629546375314,2.088808645628149,100,14.635975773727946,-11.104123955177819,0.5,2.8,20,15,12,13.5
3,0.953788220882416,0.933570623397827,348.429869651794,1.04133462905884,16.8636417388916,3.280817506084776,15.588812225761183,0.9796799431808275,-0.2005672179824275,0.2005672179824275,0.9796799431808275,78.11499414585302,11.885005854146982,2.4303116767461166,4.148649675473316,42.00505564590446,95.31214328773818,100,95.62633038313422,72.39389220048363,0.5,2.8,20,15,12,13.5
4,0.891980826854706,1.25627970695496,348.877654075623,1.09651267528534,18.1760959625244,3.464601729648907,16.562564724527665,0.9812175038795737,-0.1929046657816721,0.19290466578167206,0.9812175038795738,78.18507912372334,11.814920876276659,3.4210524317861015,4.1241854030728256,44.17400749331416,99.99521488245387,100,99.89573411523223,76.8002958580244,0.5,2.8,20,15,12,13.5
5,0.725916862487793,2.10042548179626,348.880380630493,1.18744456768036,19.8002986907959,3.866424951064537,17.278578573919468,0.9812266825922806,-0.1928579720129495,0.1928579720129495,0.9812266825922806,77.38672027328066,12.613279726719341,4.205889399782304,4.402865214126061,43.02172777580791,99.99998032291525,100,98.37147815116879,73.71543295206286,0.5,2.8,20,15,12,13.5
6,0.470767945051193,3.39820623397827,348.880823135376,1.35196721553802,22.3442039489746,4.51840067021036,18.420407078954447,0.9812281720373737,-0.19285039382950284,0.19285039382950286,0.9812281720373737,76.21785232102086,13.782147678979143,5.466479419516752,4.8108770998856105,41.48385951794167,99.99999999710471,100,96.43817491556304,69.49726315620363,0.5,2.8,20,15,12,13.5
7,0.152113512158394,5.01944923400879,348.881141662598,1.5197958946228,24.7993507385254,5.1564638462137315,19.14486717714105,0.9812292441448125,-0.19284493883687945,0.19284493883687948,0.9812292441448126,74.92571748417474,15.07428251582526,6.327129359231055,5.2619172455393,39.96191926372462,99.99999999999301,100,94.65720681495927,65.1904702399392,0.5,2.8,20,15,12,13.5
8,-0.229047149419785,6.95902347564697,348.881372451782,1.70076143741608,27.4894962310791,5.852702737727188,19.772970019882376,0.981230020922271,-0.19284098641336525,0.19284098641336525,0.981230020922271,73.51150309669528,16.48849690330472,7.120971673113914,5.75557119335113,38.47414367314384,99.99999999999997,100,93.06388668767084,60.832688004904526,0.5,2.8,20,15,12,13.5
9,-0.647863388061523,9.09042739868164,348.881548881531,1.83419966697693,30.3975830078125,6.54430478341288,20.428597408111575,0.9812306147290151,-0.19283796493045488,0.19283796493045488,0.9812306147290152,72.23713027057867,17.762869729421325,7.9512357956576345,6.200411227624728,37.26673539636723,100.0,100,91.8946222300837,57.17231935538523,0.5,2.8,20,15,12,13.5
