time,follower_world_cs_x,follower_world_cs_z,follower_compass_heading,leader_world_cs_x,leader_world_cs_z,leader_follower_cs_x,leader_follower_cs_z,follower_FT_R11,follower_FT_R21,follower_FT_R12,follower_FT_R22,x_relative_error_heading,compass_relative_error_heading,linear_distance_error,omega,v,v_without_angle_error,v_max,left_wheel_velocity,right_wheel_velocity,follower_wheel_radius,follower_axle_length,proportional_gain,logistic_function_mid,logistic_function_growth_rate,max_follower_distance,min_follower_distance,optimal_follower_distance
0,1.00003349781036,0.928261876106262,0.0395646803081036,0.0,0.0,-0.999392263105149,-0.9289522118067804,0.9999997615814491,0.0006905338839966712,-0.0006905338839966712,0.9999997615814491,-137.09201417387158,-132.90798582612842,-12.135545124463569,-46.39363909719793,3.3464308611404286e-45,2.303784676342039e-44,100,-100,100,0.5,2.8,20,1,8,15,12,13.5
1,0.978181123733521,0.926145553588867,353.921135902405,0.991810142993927,15.0725393295288,1.5116167482536265,14.065406407939914,0.9943770763460684,-0.10589726170890951,0.10589726170890951,0.9943770763460683,83.8659356122612,6.134064387738803,0.6464003412217227,2.141192401907444,3.1476854826952927,5.578771842169452,100,12.290709690731429,0.3000322400497426,0.5,2.8,20,1,8,15,12,13.5
2,0.950917899608612,0.927870213985443,347.187222480774,0.967443287372589,15.4519538879395,3.237061262709275,14.158768097469725,0.9750999225753696,-0.2217659599521722,0.2217659599521722,0.9750999225753694,77.12203182321744,12.877968176782561,1.0240930751788948,4.495258913038137,23.378477033369048,54.80375242630029,100,59.34367902324488,34.17022911023131,0.5,2.8,20,1,8,15,12,13.5
3,0.877757906913757,1.29954779148102,349.151983261108,0.91256844997406,16.0217208862305,2.8049670335248242,14.452534461004152,0.9821298708568698,-0.18820445470463343,0.18820445470463343,0.9821298708568696,79.0165077800012,10.983492219998794,1.2222142494148507,3.8339620521232067,38.9067468063917,85.54143610581177,100,88.54858735872838,67.07839986683842,0.5,2.8,20,1,8,15,12,13.5
4,0.698053240776062,2.34353637695313,350.465742111206,0.813371121883392,16.7434501647949,2.4988876507753504,14.181903109941945,0.9861867411430043,-0.16563728926102683,0.16563728926102686,0.9861867411430042,80.00691390236274,9.99308609763726,0.9003755267346616,3.488245096780834,14.664219750361859,31.066851584134238,100,39.09552577171005,19.561353229737385,0.5,2.8,20,1,8,15,12,13.5
5,0.467373579740524,3.81865930557251,352.502156257629,0.639029383659363,17.8028926849365,1.9949750632613499,13.842265834049797,0.9914497728676954,-0.1304888802948158,0.1304888802948158,0.9914497728676955,81.79888859164238,8.201111408357619,0.4852868731226607,2.862727927974193,0.8151587780898402,1.6020987052413191,100,9.64595575450742,-6.385320642148061,0.5,2.8,20,1,8,15,12,13.5
6,0.307485044002533,5.34684705734253,357.560564041138,0.380181550979614,19.323356628418,0.6675173791897391,13.960749446966325,0.9990937709574744,-0.042563327336726124,0.042563327336726124,0.9990937709574745,87.26255219111796,2.737447808882038,0.4766986292361235,0.9555495473299208,1.0707263225995196,1.4973140213112217,100,4.816991377722817,-0.5340860873247388,0.5,2.8,20,1,8,15,12,13.5
7,0.264978051185608,6.66077184677124,359.923383317888,-0.0367196761071682,21.7090454101563,-0.28157471102479154,15.048663543293092,0.9999991059303417,-0.0013372129662875547,0.0013372129662875547,0.9999991059303417,91.07193307799072,-1.071933077990721,1.5512975771900575,-0.37417523143950493,84.28180445343548,98.79953108719103,100,100,100,0.5,2.8,20,1,8,15,12,13.5
8,0.266924232244492,8.1840991973877,0.723616778850555,-0.422106564044952,23.9372158050537,-0.8879244688012,15.743158400735913,0.9999202489841217,0.01262915957347236,-0.01262915957347236,0.9999202489841218,93.22809957832764,-3.228099578327644,2.268178280732293,-1.1268193244811595,68.5673954766436,99.99607463255006,100,100,100,0.5,2.8,20,1,8,15,12,13.5
9,0.27984681725502,10.2152481079102,0.738339781761169,-0.846365749835968,26.3811912536621,-1.334435075623602,16.15008840740204,0.9999169707208856,0.01288610353704793,-0.012886103537047928,0.9999169707208856,94.72345459522553,-4.723454595225533,2.705124884984887,-1.6487966951028317,61.443390150462086,99.99988093370088,100,100,100,0.5,2.8,20,1,8,15,12,13.5
10,0.297909080982208,12.7789001464844,0.74098527431488,-1.30276417732239,29.0001735687256,-1.8103173255336023,16.199216570557756,0.9999163746706926,0.01293227224502081,-0.01293227224502081,0.9999163746706924,96.3765401241669,-6.376540124166894,2.800057248947322,-2.2258324010448067,55.67738866532178,99.99994428651628,100,100,100,0.5,2.8,20,1,8,15,12,13.5
11,0.318652808666229,15.6571016311646,0.743094801902771,-1.78112602233887,31.734167098999,-2.3081071016256423,16.048481136967315,0.9999158978499465,0.012969087359383208,-0.012969087359383208,0.9999158978499466,98.18421022282357,-8.184210222823566,2.7136086420071948,-2.856828301273,50.919527399079755,99.99988874659856,100,93.83993555459512,100,0.5,2.8,20,1,8,15,12,13.5
12,0.339216440916061,18.8836364746094,0.611977875232697,-2.24874114990234,34.3961944580078,-2.7534968987343773,15.484031597385485,0.9999429583534157,0.010680825783572618,-0.01068082578357262,0.9999429583534157,100.08339639415782,-10.083396394157816,2.226950743236019,-3.519769337235556,47.03467586569705,99.99454100379494,100,84.21399758713454,100,0.5,2.8,20,1,8,15,12,13.5
13,0.335057407617569,22.2628040313721,358.751021504402,-2.81408905982971,37.6590194702148,-2.8128060383266074,15.46119967866166,0.9997624158502065,-0.021797060658684413,0.021797060658684416,0.9997624158502066,100.31086862023943,-10.310868620239432,2.2149792654236133,-3.5991721232748586,46.62663529866963,99.9939923643804,100,83.17558865216967,100,0.5,2.8,20,1,8,15,12,13.5
14,0.255018651485443,25.8662300109863,356.969976186752,-3.29129767417908,40.4420013427734,-2.7708942071254685,14.742849612308335,0.9986019728539908,-0.05285924528516701,0.05285924528516701,0.9986019728539908,100.64446918596069,-10.644469185960688,1.5009822811115097,-3.7156206884418914,45.228199718324106,98.21520635177642,100,80.05266150901092,100,0.5,2.8,20,1,8,15,12,13.5
15,0.0615426488220692,29.5188579559326,354.860768795013,-3.77044582366943,43.4391708374023,-2.5696539143583026,14.207608001762368,0.9959799647845415,-0.08957627893468004,0.08957627893468005,0.9959799647845414,100.25195200127075,-10.251952001270752,0.9381178264799814,-3.57860634357193,17.698317436904194,37.870290202610114,100,25.376537111806982,45.416732635809794,0.5,2.8,20,1,8,15,12,13.5
16,-0.270387232303619,33.2063179016113,352.372826576233,-4.23090124130249,46.6126937866211,-2.1460931571201947,13.81343077394644,0.9911527041065206,-0.1327264749111197,0.1327264749111197,0.9911527041065206,98.83103058212707,-8.83103058212707,0.4791482424949134,-3.0826112000485777,0.7554853318546016,1.5264938116694762,100,-7.120340696426814,10.14228202384522,0.5,2.8,20,1,8,15,12,13.5
17,-0.702461063861847,36.5085334777832,350.418930053711,-4.68804597854614,49.8026351928711,-1.7172805104648554,13.772035984982015,0.986051082275018,-0.16644297264908864,0.16644297264908864,0.9860510822750181,97.10771300168449,-7.107713001684488,0.37868969043050527,-2.481059883324072,0.3693921265039942,0.6891970050165293,100,-6.208183420299412,7.6857519263153895,0.5,2.8,20,1,8,15,12,13.5
18,-1.26161777973175,39.554328918457,343.81125831604,-5.60245800018311,53.3840217590332,-0.31296767322740804,14.49156130717762,0.9603484874070204,-0.27880240805102124,0.27880240805102124,0.9603484874070204,91.23719862542329,-1.2371986254232896,0.9949404236158497,-0.4318637902956885,40.939339494873764,48.988222856997886,100,80.6694603769196,83.08789760257545,0.5,2.8,20,1,8,15,12,13.5
