time,follower_world_cs_x,follower_world_cs_z,follower_compass_heading,leader_world_cs_x,leader_world_cs_z,leader_follower_cs_x,leader_follower_cs_z,follower_FT_R11,follower_FT_R21,follower_FT_R12,follower_FT_R22,x_relative_error_heading,compass_relative_error_heading,linear_distance_error,omega,v,v_without_angle_error,v_max,left_wheel_velocity,right_wheel_velocity,follower_wheel_radius,follower_axle_length,max_follower_distance,min_follower_distance,optimal_follower_distance
0,1.00003349781036,0.928261876106262,0.0395646803081036,0.0,0.0,-0.999392263105149,-0.9289522118067804,0.9999997615814491,0.0006905338839966712,-0.0006905338839966712,0.9999997615814491,-137.09201417387158,-132.90798582612842,-12.135545124463569,-23.196819548598967,7.349336785397062e-07,3.615158079187448e-06,100,-64.95109326620975,64.95109620594447,0.5,2.8,15,12,13.5
1,0.958476066589355,0.917230844497681,347.794028282166,1.01370203495026,15.1679992675781,3.0669700008863803,13.916937363138139,0.977393863409817,-0.21142666759146483,0.21142666759146483,0.977393863409817,77.57199119807208,12.428008801927916,0.7508754312093888,2.169096730604779,0.7906867092269253,1.4075770798809428,100,7.654844264147231,-4.49209742723953,0.5,2.8,15,12,13.5
2,0.935285866260529,0.920363783836365,344.3653383255,1.06615698337555,15.7975254058838,4.135460301681437,14.291432163049054,0.9629997047326416,-0.2695024465284966,0.26950244652849664,0.9629997047326416,73.8613329611561,16.138667038843906,1.3777372331217084,2.8167287671090975,1.332210005870992,2.602665410470363,100,10.551260559647456,-5.222420536163488,0.5,2.8,15,12,13.5
3,0.926816880702972,0.969240069389343,345.698904037476,1.19633448123932,16.7339630126953,4.155328730270898,15.209614471102853,0.9690110065943128,-0.24701754816019994,0.24701754816019994,0.9690110065943128,74.71945664459551,15.28054335540449,2.2670266447480856,2.6669579304555042,3.1883920558208128,6.105548453236845,100,13.844266316917036,-1.0906980936337858,0.5,2.8,15,12,13.5
4,0.906752645969391,1.07280361652374,347.186682701111,1.43097043037415,17.8507709503174,4.2320997856920615,16.243901118366818,0.9750978332899902,-0.22177514629273998,0.22177514629273998,0.9750978332899904,75.39709174295673,14.602908257043268,3.286154775270404,2.5486882945207148,8.104148084425173,15.266563734331879,100,23.344623393508346,9.071968944192346,0.5,2.8,15,12,13.5
5,0.858528614044189,1.32320141792297,348.765003204346,1.90833699703217,19.3889122009277,4.549495712050591,17.514967670601006,0.9808363322148699,-0.1948334914928166,0.1948334914928166,0.9808363322148699,75.43925410361675,14.560745896383253,4.596187546999097,2.5413295743814084,21.276849380462462,40.03967026967248,100,49.66942156919286,35.437975952656984,0.5,2.8,15,12,13.5
6,0.754514634609222,1.92617881298065,350.727861404419,2.45071220397949,20.7027606964111,4.699391849329045,18.257952504757096,0.9869341833408407,-0.16112392048776625,0.16112392048776625,0.9869341833408406,75.56601201618282,14.433987983817174,5.353039898634549,2.519206145109077,31.309633581826823,58.73545517984695,100,69.67304436995906,55.565489957348234,0.5,2.8,15,12,13.5
7,0.572041034698486,3.1741418838501,352.350396156311,3.14219999313354,22.0366172790527,5.058154973700267,18.35248657180489,0.9911006677741002,-0.13311448582980276,0.13311448582980276,0.9911006677741002,74.59118481431018,15.40881518568982,5.5367721819180105,2.689345588215888,32.85464868892731,63.10612260296467,100,73.23946502485911,58.17912973085014,0.5,2.8,15,12,13.5
8,0.333222806453705,5.00064659118652,352.986305236816,3.93165946006775,23.3351173400879,5.810268996023449,17.757881016220434,0.9925169942365609,-0.12210657702033297,0.12210657702033297,0.9925169942365609,71.88222330279345,18.11777669720655,5.18425979246685,3.16214856507358,26.75975879235661,54.59350572693099,100,62.37353356691924,44.6655016025072,0.5,2.8,15,12,13.5
9,0.0727627500891685,7.25190877914429,354.618935108185,4.78789663314819,24.5961055755615,6.320880886528501,16.82557918368158,0.9955930111500557,-0.09377929488519794,0.09377929488519796,0.9955930111500558,69.41026039517052,20.589739604829475,4.473693277899791,3.5935874823255047,17.327702903043846,37.13786976196832,100,44.717450756599106,24.59336085557628,0.5,2.8,15,12,13.5
10,-0.122269496321678,9.67386150360107,358.292112231255,5.67278861999512,25.8484153747559,6.27454774722123,15.994653546426688,0.9995557665686897,-0.029803850745817696,0.029803850745817696,0.9995557665686897,68.58040352041958,21.41959647958042,3.68135301722128,3.738424830172647,9.695159517469785,21.10434883617274,100,29.85790855942298,8.92272951045616,0.5,2.8,15,12,13.5
11,-0.14906519651413,12.0224952697754,3.84379363059998,6.74143838882446,27.4621868133545,5.839979986067698,15.866875823008154,0.997750520834204,0.06703654357941269,-0.06703654357941269,0.9977505208342041,69.79330097341524,20.206699026584758,3.4074869398273364,3.5267342897343723,7.9446155264123,16.903062068664056,100,25.76408706408084,6.014375041568359,0.5,2.8,15,12,13.5
12,0.0371329933404922,14.1820678710938,9.86003398895264,7.56371021270752,28.7783985137939,4.9158987578169295,15.669593877092495,0.9852290136512573,0.171241906844589,-0.171241906844589,0.9852290136512573,72.58220318212236,17.417796817877644,2.922613460412464,3.03997902915356,5.538104631505515,11.131423654047476,100,19.588150544640996,2.5642679813810627,0.5,2.8,15,12,13.5
13,0.409372746944427,16.1185073852539,14.9819555282593,8.35464382171631,30.1348915100098,4.051746645580581,15.593899624671902,0.9660072896761631,0.258514827993509,-0.258514827993509,0.966007289676163,75.43496379299386,14.565036207006143,2.61168384695765,2.542078374844436,4.466852619847525,8.40679982985292,100,16.05152468925947,1.8158857901306291,0.5,2.8,15,12,13.5
14,0.878149449825287,17.7902317047119,18.5431308746338,9.21932983398438,31.6441421508789,3.50234505260676,15.787327322380332,0.9480845272772769,0.3180184415052411,-0.3180184415052411,0.9480845272772769,77.49177132560311,12.50822867439689,2.671151005772458,2.183097739605915,4.975087267036302,8.876171608393975,100,16.062848204969164,3.837500863176042,0.5,2.8,15,12,13.5
